channel,onset,duration,peak_onset,type,frequency,amplitude,phase_angle,lag,sw_wind_start,sw_wind_end,sw_neg_peak,overlap,cluster_size,i_within_cluster,NREM2,NREM3,NREM23
Pz,6130.8,0.916,6131.22,sp_unc,14.3314270152505,16.6434603682394,NaN,NaN,NaN,NaN,NaN,0,1,1,103,,103
Pz,6147.128,0.808,6147.328,sp_unc,14.1379106467148,15.2542173395458,NaN,NaN,NaN,NaN,NaN,0,1,1,104,,104
Pz,6159.616,0.632,6160.004,sp_unc,14.0092879256966,13.7262846326282,NaN,NaN,NaN,NaN,NaN,0,1,1,105,,105
Pz,6171.256,0.712,6171.74,sp_unc,13.670008695486,16.330999258711,NaN,NaN,NaN,NaN,NaN,0,2,1,106,,106
Fz,6173.72,0.536,6173.904,sp_unc,13.4482723588761,17.782255988616,NaN,NaN,NaN,NaN,NaN,0,2,2,107,,107
C4,6181.1,0.54,6181.236,sp_unc,14.8463754597656,11.4056570822532,NaN,NaN,NaN,NaN,NaN,0,2,1,108,,108
Cz,6182.712,0.64,6183.136,sp_unc,13.030519225234,16.4915994964156,NaN,NaN,NaN,NaN,NaN,0,2,2,109,,109
Fz,6188.968,1.132,6189.924,sp_unc,13.0069664793289,31.7264297972029,NaN,NaN,NaN,NaN,NaN,1,3,1,110,,110
C3,6190.22,0.52,6190.352,sp_unc,14.3071432351618,12.1166571345571,NaN,NaN,NaN,NaN,NaN,0,3,2,111,,111
C4,6190.912,0.568,6191.06,sp_unc,13.6378235504728,15.5850237809123,NaN,NaN,NaN,NaN,NaN,0,3,3,112,,112
Pz,6209.912,0.784,6210.504,sp_unc,14.0163828689371,12.0212624313118,NaN,NaN,NaN,NaN,NaN,0,2,1,113,,113
C4,6213.54,0.52,6213.696,sp_unc,14.1003038642358,14.2099161418312,NaN,NaN,NaN,NaN,NaN,1,2,2,114,,114
Cz,6220.092,0.564,6220.244,sp_unc,11.9926736982593,15.2203936351846,NaN,NaN,NaN,NaN,NaN,1,5,1,115,,115
Cz,6224.344,0.572,6224.756,sp_unc,14.4147132537225,16.0859074181719,NaN,NaN,NaN,NaN,NaN,1,5,2,116,,116
Pz,6227.348,0.5,6227.5,sp_unc,14.5258212934297,11.3287237810024,NaN,NaN,NaN,NaN,NaN,0,5,3,117,,117
Pz,6230.196,0.908,6230.612,sp_unc,14.018588938245,14.1273696267227,NaN,NaN,NaN,NaN,NaN,0,5,4,118,,118
Pz,6233.676,0.58,6233.852,sp_unc,14.3009689255819,11.5182399101,NaN,NaN,NaN,NaN,NaN,0,5,5,119,,119
Pz,6249.272,0.664,6249.664,sp_unc,11.8602896050591,16.789315146398,NaN,NaN,NaN,NaN,NaN,1,2,1,120,,120
Cz,6251.036,0.552,6251.18,sp_unc,13.506522717049,16.4387508543012,NaN,NaN,NaN,NaN,NaN,1,2,2,121,,121
Fz,6258.2,0.632,6258.348,sp_c_up,13.2292434517667,19.5044033805822,0.476988874117966,0.676,6255.672,6259.672,6257.672,0,1,1,122,,122
Pz,6264.888,0.496,6265.044,sp_unc,14.3144063180828,15.643508291467,NaN,NaN,NaN,NaN,NaN,1,9,1,123,,123
Fz,6269.148,0.544,6269.284,sp_unc,12.2149494289082,20.4411563667669,NaN,NaN,NaN,NaN,NaN,1,9,2,124,,124
